Item,RowDesc,Past Due
966-7797-001,Plan Build Remaining,20
966-7797-001,Plan Delivery Qty,
966-7964-004,Plan Build Remaining,20
966-7964-004,Plan Delivery Qty,
966-7964-014,Plan Build Remaining,
966-7964-014,Plan Delivery Qty,
966-7964-404,Plan Build Remaining,
966-7964-404,Plan Delivery Qty,
966-8303-003,Plan Build Remaining,20
966-8303-003,Plan Delivery Qty,20
966-8303-403,Plan Build Remaining,
966-8303-403,Plan Delivery Qty,
966-8460-002,Plan Build Remaining,
966-8460-002,Plan Delivery Qty,
966-8492-004,Plan Build Remaining,0
966-8492-004,Plan Delivery Qty,
966-8492-014,Plan Build Remaining,
966-8492-014,Plan Delivery Qty,
966-8500-001,Plan Build Remaining,
966-8500-001,Plan Delivery Qty,
966-8532-021,Plan Build Remaining,
966-8532-021,Plan Delivery Qty,
966-8572-001,Plan Build Remaining,
966-8572-001,Plan Delivery Qty,
966-8574-001,Plan Build Remaining,
966-8574-001,Plan Delivery Qty,
966-8736-002,Plan Build Remaining,
966-8736-002,Plan Delivery Qty,
983-9834-111,Plan Build Remaining,5
983-9834-111,Plan Delivery Qty,1
983-9834-111+SA,Plan Build Remaining,0
983-9834-111+SA,Plan Delivery Qty,
983-9834-212,Plan Build Remaining,211
983-9834-212,Plan Delivery Qty,307
983-9834-212+SA,Plan Build Remaining,-1
983-9834-212+SA,Plan Delivery Qty,163
985-0043-053,Plan Build Remaining,
985-0043-053,Plan Delivery Qty,
987-0001-220,Plan Build Remaining,
987-0001-220,Plan Delivery Qty,
987-0018-654,Plan Build Remaining,85
987-0018-654,Plan Delivery Qty,70
987-0018-661,Plan Build Remaining,940
987-0018-661,Plan Delivery Qty,613
987-0018-661+PR,Plan Build Remaining,3501
987-0018-661+PR,Plan Delivery Qty,839
987-2094-004,Plan Build Remaining,17
987-2094-004,Plan Delivery Qty,357
987-2434-300,Plan Build Remaining,23
987-2434-300,Plan Delivery Qty,335
987-2618-011,Plan Build Remaining,2
987-2618-011,Plan Delivery Qty,2
987-2618-021,Plan Build Remaining,17
987-2618-021,Plan Delivery Qty,17
987-2618-021+TL,Plan Build Remaining,0
987-2618-021+TL,Plan Delivery Qty,2
987-2618-121,Plan Build Remaining,174
987-2618-121,Plan Delivery Qty,94
987-2618-121+TL,Plan Build Remaining,8
987-2618-121+TL,Plan Delivery Qty,44
987-2618-221,Plan Build Remaining,225
987-2618-221,Plan Delivery Qty,136
987-2618-221+TL,Plan Build Remaining,6
987-2618-221+TL,Plan Delivery Qty,38
987-2618-321,Plan Build Remaining,955
987-2618-321,Plan Delivery Qty,830
987-2618-321+TL,Plan Build Remaining,36
987-2618-321+TL,Plan Delivery Qty,236
987-2618-421,Plan Build Remaining,47
987-2618-421,Plan Delivery Qty,
987-3594-100,Plan Build Remaining,0
987-3594-100,Plan Delivery Qty,6
987-3594-110,Plan Build Remaining,-5
987-3594-110,Plan Delivery Qty,260
987-3594-200,Plan Build Remaining,-1
987-3594-200,Plan Delivery Qty,32
987-3594-210,Plan Build Remaining,
987-3594-210,Plan Delivery Qty,
987-4633-001,Plan Build Remaining,
987-4633-001,Plan Delivery Qty,
987-4633-001+TL,Plan Build Remaining,13
987-4633-001+TL,Plan Delivery Qty,12
987-6642-003,Plan Build Remaining,
987-6642-003,Plan Delivery Qty,
987-7173-080,Plan Build Remaining,6
987-7173-080,Plan Delivery Qty,32
987-7173-090,Plan Build Remaining,0
987-7173-090,Plan Delivery Qty,6
987-7173-180,Plan Build Remaining,
987-7173-180,Plan Delivery Qty,
987-7173-884,Plan Build Remaining,134
987-7173-884,Plan Delivery Qty,171
987-7173-884+SA,Plan Build Remaining,0
987-7173-884+SA,Plan Delivery Qty,92
987-7173-885,Plan Build Remaining,0
987-7173-885,Plan Delivery Qty,
987-7173-885+SA,Plan Build Remaining,0
987-7173-885+SA,Plan Delivery Qty,
987-8574-730,Plan Build Remaining,
987-8574-730,Plan Delivery Qty,
987-8574-763,Plan Build Remaining,
987-8574-763,Plan Delivery Qty,
987-8760-002,Plan Build Remaining,0
987-8760-002,Plan Delivery Qty,52
987-8760-002+TL,Plan Build Remaining,0
987-8760-002+TL,Plan Delivery Qty,1
987-8770-002,Plan Build Remaining,195
987-8770-002,Plan Delivery Qty,175
987-9055-202,Plan Build Remaining,0
987-9055-202,Plan Delivery Qty,226
987-9055-202+TL,Plan Build Remaining,1
987-9055-202+TL,Plan Delivery Qty,16
987-9658-001,Plan Build Remaining,-10
987-9658-001,Plan Delivery Qty,2
987-9658-001+TL,Plan Build Remaining,
987-9658-001+TL,Plan Delivery Qty,
987-9658-101,Plan Build Remaining,
987-9658-101,Plan Delivery Qty,
987-9658-101+TL,Plan Build Remaining,
987-9658-101+TL,Plan Delivery Qty,
987-9705-001,Plan Build Remaining,50
987-9705-001,Plan Delivery Qty,112
987-9705-001+TL,Plan Build Remaining,16
987-9705-001+TL,Plan Delivery Qty,68
987-9705-012,Plan Build Remaining,348
987-9705-012,Plan Delivery Qty,295
987-9705-012+TL,Plan Build Remaining,26
987-9705-012+TL,Plan Delivery Qty,380
987-9705-112,Plan Build Remaining,0
987-9705-112,Plan Delivery Qty,1
987-9968-175,Plan Build Remaining,2
987-9968-175,Plan Delivery Qty,2
ASM-0032-001,Plan Build Remaining,
ASM-0032-001,Plan Delivery Qty,
CCA-000C-001,Plan Build Remaining,
CCA-000C-001,Plan Delivery Qty,
CCA-0012-002,Plan Build Remaining,
CCA-0012-002,Plan Delivery Qty,
CCA-002B-001,Plan Build Remaining,
CCA-002B-001,Plan Delivery Qty,
CCA-004B-301,Plan Build Remaining,
CCA-004B-301,Plan Delivery Qty,
CCA-004C-002,Plan Build Remaining,
CCA-004C-002,Plan Delivery Qty,
CCA-004D-102,Plan Build Remaining,
CCA-004D-102,Plan Delivery Qty,
CCA-0065-001,Plan Build Remaining,
CCA-0065-001,Plan Delivery Qty,
CCA-0069-001,Plan Build Remaining,4
CCA-0069-001,Plan Delivery Qty,
NON-STD-BUILD,Plan Build Remaining,
NON-STD-BUILD,Plan Delivery Qty,
