Item,RowDesc,Past Due
987-4633-001+TL,Plan Delivery Qty,
987-6016-001,Plan Build Remaining,
987-6016-001,Plan Delivery Qty,
987-7173-080,Plan Build Remaining,0
987-7173-080,Plan Delivery Qty,8
987-7173-882,Plan Build Remaining,0
987-7173-882,Plan Delivery Qty,1
987-7173-882+SA,Plan Build Remaining,0
987-7173-882+SA,Plan Delivery Qty,1
987-7173-884,Plan Build Remaining,314
987-7173-884,Plan Delivery Qty,275
987-7173-884+SA,Plan Build Remaining,9
987-7173-884+SA,Plan Delivery Qty,353
987-7173-885,Plan Build Remaining,9
987-7173-885,Plan Delivery Qty,11
987-7173-885+SA,Plan Build Remaining,0
987-7173-885+SA,Plan Delivery Qty,4
987-8760-002,Plan Build Remaining,
987-8760-002,Plan Delivery Qty,
987-8760-002+TL,Plan Build Remaining,0
987-8760-002+TL,Plan Delivery Qty,10
987-8770-002,Plan Build Remaining,90
987-8770-002,Plan Delivery Qty,90
987-9055-202,Plan Build Remaining,0
987-9055-202,Plan Delivery Qty,24
987-9055-202+TL,Plan Build Remaining,0
987-9055-202+TL,Plan Delivery Qty,1
987-9658-001,Plan Build Remaining,104
987-9658-001,Plan Delivery Qty,81
987-9658-001+TL,Plan Build Remaining,2
987-9658-001+TL,Plan Delivery Qty,4
987-9705-001,Plan Build Remaining,
987-9705-001,Plan Delivery Qty,
987-9705-001+TL,Plan Build Remaining,0
987-9705-001+TL,Plan Delivery Qty,2
987-9705-012,Plan Build Remaining,0
987-9705-012,Plan Delivery Qty,518
987-9705-012+TL,Plan Build Remaining,2
987-9705-012+TL,Plan Delivery Qty,81
987-9705-112,Plan Build Remaining,1
987-9705-112,Plan Delivery Qty,1
987-9968-155,Plan Build Remaining,
987-9968-155,Plan Delivery Qty,
987-9968-175,Plan Build Remaining,1
987-9968-175,Plan Delivery Qty,1
CCA-000D-001,Plan Build Remaining,
CCA-000D-001,Plan Delivery Qty,
CCA-0012-001,Plan Build Remaining,
CCA-0012-001,Plan Delivery Qty,
CCA-0012-002,Plan Build Remaining,
CCA-0012-002,Plan Delivery Qty,
CCA-0016-001,Plan Build Remaining,
CCA-0016-001,Plan Delivery Qty,
CCA-0017-001,Plan Build Remaining,
CCA-0017-001,Plan Delivery Qty,
CCA-0018-400,Plan Build Remaining,28
CCA-0018-400,Plan Delivery Qty,
CCA-0019-400,Plan Build Remaining,20
CCA-0019-400,Plan Delivery Qty,
CCA-0038-001,Plan Build Remaining,
CCA-0038-001,Plan Delivery Qty,
CCA-003C-001,Plan Build Remaining,
CCA-003C-001,Plan Delivery Qty,
CCA-004B-001,Plan Build Remaining,
CCA-004B-001,Plan Delivery Qty,
CCA-004E-001,Plan Build Remaining,
CCA-004E-001,Plan Delivery Qty,
CCA-005E-001,Plan Build Remaining,
CCA-005E-001,Plan Delivery Qty,
NON-STD-BUILD,Plan Build Remaining,
NON-STD-BUILD,Plan Delivery Qty,
