"MSIB_INVENTORY_ITEM_ID","MSIB_SEGMENT1","MP_PLANNER_CODE","MP_ORGANIZATION_ID","MP_DESCRIPTION"
12524556,"984-5178-002","510",1213,"Fitzsimmons, Shawn"
12524515,"984-5178-002A","510",1213,"Fitzsimmons, Shawn"
12524519,"984-5256-003","510",1213,"Fitzsimmons, Shawn"
12529185,"984-1832-030","510",1213,"Fitzsimmons, Shawn"
12524520,"984-5256-004","510",1213,"Fitzsimmons, Shawn"
12524521,"984-5256-005","510",1213,"Fitzsimmons, Shawn"
12524562,"984-5261-003","510",1213,"Fitzsimmons, Shawn"
12524237,"984-5288-001","510",1213,"Fitzsimmons, Shawn"
12524238,"984-5288-002","510",1213,"Fitzsimmons, Shawn"
12524278,"984-5288-002A","510",1213,"Fitzsimmons, Shawn"
12524236,"984-5289-001","510",1213,"Fitzsimmons, Shawn"
12523716,"984-0910-008","510",1213,"Fitzsimmons, Shawn"
12527142,"984-2217-043","510",1213,"Fitzsimmons, Shawn"
12519181,"811-4244-209","510",1213,"Fitzsimmons, Shawn"
12519224,"811-4244-210","510",1213,"Fitzsimmons, Shawn"
12518949,"811-4244-211","510",1213,"Fitzsimmons, Shawn"
12521458,"811-9578-001B","510",1213,"Fitzsimmons, Shawn"
12521417,"811-9578-001C","510",1213,"Fitzsimmons, Shawn"
12521460,"811-9579-001B","510",1213,"Fitzsimmons, Shawn"
12521461,"811-9579-001C","510",1213,"Fitzsimmons, Shawn"
12521465,"811-9607-003","510",1213,"Fitzsimmons, Shawn"
12541223,"811-4295-005","510",1213,"Fitzsimmons, Shawn"
12520882,"811-9612-004","510",1213,"Fitzsimmons, Shawn"
12541224,"811-4295-006","510",1213,"Fitzsimmons, Shawn"
12520797,"811-9930-001","510",1213,"Fitzsimmons, Shawn"
12520798,"811-9930-002","510",1213,"Fitzsimmons, Shawn"
12520799,"811-9935-008","510",1213,"Fitzsimmons, Shawn"
12519562,"811-7150-301","510",1213,"Fitzsimmons, Shawn"
12520802,"811-9935-010","510",1213,"Fitzsimmons, Shawn"
